id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
1495.0,Rubén Peña,R. Peña,male,1991-07-18T00:00:00+00:00,65.0,170.0,Villarreal CF,VIL,https://assets.laliga.com/assets/2019/06/07/medium/villarreal.png,20.0,Forward,https://assets.laliga.com/squad/2021/t449/p126290/512x556/p126290_t449_2021_1_001_000.png,3.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,2.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,27.0,10.0,34.0,1.0,8.0,25.0,44.0,2.0,7.0,3.0,1.0,8.0,1.0,Goalkeeper,0.0
9519.0,Ángel Algobia,Algobia,male,1999-06-23T00:00:00+00:00,78.0,180.0,Getafe CF,GET,https://assets.laliga.com/assets/2019/06/07/medium/getafe.png,29.0,Midfielder,https://assets.laliga.com/squad/2021/t1450/p471840/512x556/p471840_t1450_2021_0_001_000.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,0.0
25590.0,Victor Wehbi Aznar Ussen,Victor Aznar,male,2002-10-17T00:00:00+00:00,,189.0,Cádiz CF,CAD,https://assets.laliga.com/assets/2019/06/07/medium/cadiz.png,34.0,Goalkeeper,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0
17163.0,Sergio Díaz,Sergio Diaz,male,1998-01-14T00:00:00+00:00,,,FC Cartagena,CAR,https://assets.laliga.com/assets/2022/02/11/medium/1628caa9b2002a11e564eb84b3677f78.png,27.0,Goalkeeper,https://assets.laliga.com/squad/2021/t3554/p464436/512x556/p464436_t3554_2021_1_001_000.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0
14778.0,Eider Egaña,Eider Egaña,female,2002-08-02T00:00:00+00:00,,,SD Eibar,EIB,https://assets.laliga.com/assets/2019/06/07/medium/eibar.png,30.0,Goalkeeper,https://assets.laliga.com/squad/2021/t16881/p508003/512x556/p508003_t16881_2021_0_001_000.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0
23325.0,Yoel Ramírez,Yoel R.,male,2002-02-05T00:00:00+00:00,,184.0,CA Osasuna,OSA,https://assets.laliga.com/assets/2019/06/07/medium/osasuna.png,34.0,Goalkeeper,https://assets.laliga.com/squad/2021/t450/p546327/512x556/p546327_t450_2021_1_001_000.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,0.0
25820.0,Elisabet López,Elisabet López,female,2004-05-27T00:00:00+00:00,,,Sevilla FC,SFC,https://assets.laliga.com/assets/2019/06/07/medium/sevilla.png,30.0,Goalkeeper,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0
12745.0,Samuel Casado,S. Casado,male,1997-01-16T00:00:00+00:00,77.0,186.0,Real Valladolid CF,VLL,https://assets.laliga.com/assets/2019/06/07/medium/valladolid.png,26.0,Goalkeeper,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,0.0
15765.0,Ángel Jiménez,Angel,male,2002-06-22T00:00:00+00:00,,,Granada CF,GRA,https://assets.laliga.com/assets/2019/06/07/medium/granada.png,30.0,Goalkeeper,https://assets.laliga.com/squad/2021/t5683/p519839/512x556/p519839_t5683_2021_1_001_000.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,0.0
25423.0,Claudia Castro,Claudia Castro,female,,,,Sevilla FC,SFC,https://assets.laliga.com/assets/2019/06/07/medium/sevilla.png,25.0,Goalkeeper,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,0.0
