id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
5843.0,Pau Torres,Pau,male,1997-01-16T00:00:00+00:00,80.0,191.0,Villarreal CF,VIL,https://assets.laliga.com/assets/2019/06/07/medium/villarreal.png,4.0,Defender,https://assets.laliga.com/squad/2021/t449/p244954/512x556/p244954_t449_2021_1_001_000.png,58.0,33.0,1.0,0.0,23.0,0.0,11.0,131.0,5.0,33.0,19.0,8.0,0.0,1888.0,0.0,0.0,0.0,9.0,0.0,1.0,25.0,139.0,587.0,1111.0,1558.0,103.0,14.0,326.0,1979.0,32.0,35.0,3.0,141.0,141.0,5.0,Midfielder,1845.0
2350.0,David Alaba,Alaba,male,1992-06-24T00:00:00+00:00,78.0,180.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,4.0,Defender,https://assets.laliga.com/squad/2021/t186/p50188/512x556/p50188_t186_2021_1_001_000.png,14.0,30.0,3.0,7.0,15.0,0.0,11.0,47.0,2.0,26.0,22.0,18.0,2.0,1854.0,0.0,0.0,0.0,7.0,0.0,5.0,4.0,54.0,697.0,1058.0,1695.0,67.0,16.0,207.0,1888.0,23.0,42.0,6.0,56.0,83.0,2.0,Midfielder,1835.5
4624.0,Francisco Beltrán,Fran Beltran,male,1999-02-03T00:00:00+00:00,66.0,170.0,RC Celta,CEL,https://assets.laliga.com/assets/2019/06/07/medium/celta.png,8.0,Midfielder,https://assets.laliga.com/squad/2021/t176/p234511/512x556/p234511_t176_2021_1_001_000.png,16.0,37.0,0.0,0.0,5.0,0.0,6.0,116.0,1.0,28.0,32.0,11.0,0.0,1808.0,0.0,0.0,0.0,4.0,0.0,5.0,19.0,135.0,751.0,963.0,1573.0,31.0,17.0,236.0,1872.0,56.0,5.0,8.0,41.0,123.0,4.0,Midfielder,1832.5
13783.0,Victor Meseguer,V. Meseguer,male,1999-06-09T00:00:00+00:00,,,CD Mirandés,MIR,https://assets.laliga.com/assets/2019/06/07/medium/mirandes.png,8.0,Midfielder,https://assets.laliga.com/squad/2021/t5741/p498208/512x556/p498208_t5741_2021_1_001_000.png,103.0,38.0,2.0,0.0,7.0,0.0,5.0,276.0,3.0,53.0,48.0,38.0,3.0,1971.0,0.0,1.0,0.0,11.0,0.0,2.0,27.0,168.0,839.0,763.0,1432.0,33.0,63.0,527.0,2019.0,74.0,42.0,19.0,107.0,312.0,7.0,Defender,1826.5
14914.0,Samuel Almeida Costa,Samu,male,2000-11-27T00:00:00+00:00,75.0,183.0,UD Almería,ALM,https://assets.laliga.com/assets/2019/06/07/medium/almeria.png,30.0,Midfielder,https://assets.laliga.com/squad/2021/t1564/p485385/512x556/p485385_t1564_2021_1_001_000.png,89.0,38.0,1.0,2.0,9.0,0.0,10.0,261.0,0.0,29.0,45.0,11.0,2.0,1799.0,0.0,0.0,0.0,23.0,0.0,1.0,30.0,137.0,740.0,824.0,1426.0,57.0,73.0,509.0,1887.0,64.0,49.0,20.0,96.0,228.0,12.0,Midfielder,1789.0
9682.0,Yann Bodiger,Bodiger,male,1995-02-09T00:00:00+00:00,80.0,188.0,FC Cartagena,CAR,https://assets.laliga.com/assets/2022/02/11/medium/1628caa9b2002a11e564eb84b3677f78.png,6.0,Midfielder,https://assets.laliga.com/squad/2021/t3554/p194302/512x556/p194302_t3554_2021_1_001_000.png,57.0,39.0,3.0,2.0,7.0,0.0,6.0,206.0,4.0,39.0,69.0,17.0,0.0,1787.0,0.0,0.0,0.0,10.0,0.0,0.0,33.0,129.0,662.0,900.0,1433.0,57.0,77.0,408.0,1848.0,75.0,21.0,29.0,70.0,216.0,7.0,Goalkeeper,1774.5
6287.0,Alexandre Corredera Alardi,Alexandre,male,1996-03-19T00:00:00+00:00,72.0,181.0,CD Tenerife,TEN,https://assets.laliga.com/assets/2019/06/07/medium/tenerife.png,6.0,Midfielder,https://assets.laliga.com/squad/2021/t612/p433503/512x556/p433503_t612_2021_1_001_000.png,25.0,43.0,2.0,4.0,7.0,0.0,5.0,150.0,2.0,28.0,66.0,37.0,0.0,1609.0,0.0,0.0,0.0,10.0,0.0,8.0,18.0,138.0,825.0,775.0,1428.0,25.0,43.0,351.0,1763.0,74.0,23.0,8.0,57.0,140.0,3.0,Forward,1762.5
530.0,Denis Suárez,Denis Suárez,male,1994-01-06T00:00:00+00:00,69.0,176.0,RC Celta,CEL,https://assets.laliga.com/assets/2019/06/07/medium/celta.png,6.0,Midfielder,https://assets.laliga.com/squad/2021/t176/p89572/512x556/p89572_t176_2021_1_001_000.png,14.0,38.0,4.0,1.0,4.0,0.0,3.0,155.0,4.0,38.0,16.0,40.0,1.0,1792.0,0.0,0.0,0.0,8.0,0.0,7.0,42.0,91.0,969.0,658.0,1504.0,9.0,47.0,535.0,1907.0,61.0,37.0,40.0,48.0,264.0,4.0,Goalkeeper,1761.0
1812.0,Javier Muñoz Jiménez,Javi Muñoz,male,1995-02-28T00:00:00+00:00,69.0,175.0,SD Eibar,EIB,https://assets.laliga.com/assets/2019/06/07/medium/eibar.png,14.0,Midfielder,https://assets.laliga.com/squad/2021/t953/p198221/512x556/p198221_t953_2021_1_001_000.png,13.0,39.0,2.0,0.0,6.0,0.0,6.0,140.0,2.0,43.0,46.0,50.0,2.0,1751.0,0.0,0.0,0.0,7.0,0.0,10.0,20.0,126.0,956.0,638.0,1420.0,26.0,45.0,516.0,1857.0,76.0,13.0,30.0,115.0,196.0,12.0,Defender,1731.0
1605.0,Joan Jordán,Jordán,male,1994-07-06T00:00:00+00:00,74.0,184.0,Sevilla FC,SEV,https://assets.laliga.com/assets/2019/06/07/medium/sevilla.png,8.0,Midfielder,https://assets.laliga.com/squad/2021/t179/p195364/512x556/p195364_t179_2021_1_001_000.png,11.0,36.0,0.0,1.0,6.0,0.0,6.0,121.0,0.0,21.0,30.0,23.0,1.0,1740.0,0.0,0.0,0.0,1.0,0.0,2.0,23.0,153.0,860.0,735.0,1436.0,17.0,54.0,304.0,1796.0,61.0,25.0,14.0,55.0,152.0,9.0,Forward,1716.0
